"yearspan","measurename","statecode","countycode","county","state","numerator","denominator","rawvalue","cilow","cihigh","measureid","chrreleaseyear","differflag","trendbreak","fips"
"2017","Unemployment rate",27,89,"Marshall","MN",387,5498,"0.07","","",23,2019,NA,NA,27089
"2018","Unemployment rate",27,89,"Marshall","MN",315,5440,"0.06","","",23,2020,NA,NA,27089
"2019","Unemployment rate",27,89,"Marshall","MN",319,5447,"0.06","","",23,2021,NA,NA,27089
"2020","Unemployment rate",27,89,"Marshall","MN",353,5451,"0.06","","",23,2022,NA,NA,27089
"2021","Unemployment rate",27,89,"Marshall","MN",215,5173,"0.04","","",23,2023,NA,NA,27089
"2022","Unemployment rate",27,89,"Marshall","MN",215,5357,"0.04","","",23,2024,NA,NA,27089
"2002","Unemployment rate",27,113,"Pennington","MN",461,7902,"0.06","","",23,NA,NA,NA,27113
"2003","Unemployment rate",27,113,"Pennington","MN",487,7995,"0.06","","",23,NA,NA,NA,27113
"2004","Unemployment rate",27,113,"Pennington","MN",530,8131,"0.07","","",23,NA,NA,NA,27113
"2005","Unemployment rate",27,113,"Pennington","MN",452,8194,"0.06","","",23,NA,NA,NA,27113
"2006","Unemployment rate",27,113,"Pennington","MN",461,8358,"0.06","","",23,NA,NA,NA,27113
"2007","Unemployment rate",27,113,"Pennington","MN",589,8550,"0.07","","",23,NA,NA,NA,27113
"2008","Unemployment rate",27,113,"Pennington","MN",618,8718,"0.07","","",23,2010,1,NA,27113
"2009","Unemployment rate",27,113,"Pennington","MN",791,8975,"0.09","","",23,2011,1,NA,27113
"2010","Unemployment rate",27,113,"Pennington","MN",759,8398,"0.09","","",23,2012,1,1,27113
"2011","Unemployment rate",27,113,"Pennington","MN",653,8551,"0.08","","",23,2013,1,NA,27113
"2012","Unemployment rate",27,113,"Pennington","MN",563,8610,"0.07","","",23,2014,1,NA,27113
"2013","Unemployment rate",27,113,"Pennington","MN",542,8673,"0.06","","",23,2015,1,NA,27113
"2014","Unemployment rate",27,113,"Pennington","MN",444,8955,"0.05","","",23,2016,NA,NA,27113
"2015","Unemployment rate",27,113,"Pennington","MN",474,9119,"0.05","","",23,2017,NA,NA,27113
"2016","Unemployment rate",27,113,"Pennington","MN",523,9031,"0.06","","",23,2018,NA,NA,27113
"2017","Unemployment rate",27,113,"Pennington","MN",505,8831,"0.06","","",23,2019,NA,NA,27113
"2018","Unemployment rate",27,113,"Pennington","MN",369,8797,"0.04","","",23,2020,NA,NA,27113
"2019","Unemployment rate",27,113,"Pennington","MN",400,8765,"0.05","","",23,2021,NA,NA,27113
"2020","Unemployment rate",27,113,"Pennington","MN",533,8663,"0.06","","",23,2022,NA,NA,27113
"2021","Unemployment rate",27,113,"Pennington","MN",316,8527,"0.04","","",23,2023,NA,NA,27113
"2022","Unemployment rate",27,113,"Pennington","MN",293,8815,"0.03","","",23,2024,NA,NA,27113
"2002","Unemployment rate",27,125,"Red Lake","MN",185,2213,"0.08","","",23,NA,NA,NA,27125
"2003","Unemployment rate",27,125,"Red Lake","MN",173,2189,"0.08","","",23,NA,NA,NA,27125
"2004","Unemployment rate",27,125,"Red Lake","MN",175,2250,"0.08","","",23,NA,NA,NA,27125
"2005","Unemployment rate",27,125,"Red Lake","MN",153,2235,"0.07","","",23,NA,NA,NA,27125
"2006","Unemployment rate",27,125,"Red Lake","MN",149,2223,"0.07","","",23,NA,NA,NA,27125
"2007","Unemployment rate",27,125,"Red Lake","MN",186,2297,"0.08","","",23,NA,NA,NA,27125
"2008","Unemployment rate",27,125,"Red Lake","MN",187,2361,"0.08","","",23,2010,1,NA,27125
"2009","Unemployment rate",27,125,"Red Lake","MN",245,2432,"0.10","","",23,2011,1,NA,27125
"2010","Unemployment rate",27,125,"Red Lake","MN",232,2419,"0.10","","",23,2012,1,1,27125
"2011","Unemployment rate",27,125,"Red Lake","MN",194,2420,"0.08","","",23,2013,1,NA,27125
"2012","Unemployment rate",27,125,"Red Lake","MN",168,2346,"0.07","","",23,2014,1,NA,27125
"2013","Unemployment rate",27,125,"Red Lake","MN",151,2260,"0.07","","",23,2015,1,NA,27125
"2014","Unemployment rate",27,125,"Red Lake","MN",129,2278,"0.06","","",23,2016,NA,NA,27125
"2015","Unemployment rate",27,125,"Red Lake","MN",136,2332,"0.06","","",23,2017,NA,NA,27125
"2016","Unemployment rate",27,125,"Red Lake","MN",167,2329,"0.07","","",23,2018,NA,NA,27125
"2017","Unemployment rate",27,125,"Red Lake","MN",148,2255,"0.07","","",23,2019,NA,NA,27125
"2018","Unemployment rate",27,125,"Red Lake","MN",115,2231,"0.05","","",23,2020,NA,NA,27125
"2019","Unemployment rate",27,125,"Red Lake","MN",118,2229,"0.05","","",23,2021,NA,NA,27125
"2020","Unemployment rate",27,125,"Red Lake","MN",143,2230,"0.06","","",23,2022,NA,NA,27125
"2021","Unemployment rate",27,125,"Red Lake","MN",85,2150,"0.04","","",23,2023,NA,NA,27125
"2022","Unemployment rate",27,125,"Red Lake","MN",83,2172,"0.04","","",23,2024,NA,NA,27125
"2002","Unemployment rate",27,135,"Roseau","MN",517,9843,"0.05","","",23,NA,NA,NA,27135
"2003","Unemployment rate",27,135,"Roseau","MN",745,10194,"0.07","","",23,NA,NA,NA,27135
"2004","Unemployment rate",27,135,"Roseau","MN",460,10127,"0.05","","",23,NA,NA,NA,27135
"2005","Unemployment rate",27,135,"Roseau","MN",513,10185,"0.05","","",23,NA,NA,NA,27135
"2006","Unemployment rate",27,135,"Roseau","MN",640,10127,"0.06","","",23,NA,NA,NA,27135
"2007","Unemployment rate",27,135,"Roseau","MN",615,9755,"0.06","","",23,NA,NA,NA,27135
"2008","Unemployment rate",27,135,"Roseau","MN",473,9562,"0.05","","",23,2010,1,NA,27135
"2009","Unemployment rate",27,135,"Roseau","MN",724,9533,"0.08","","",23,2011,NA,NA,27135
"2010","Unemployment rate",27,135,"Roseau","MN",555,8685,"0.06","","",23,2012,1,1,27135
"2011","Unemployment rate",27,135,"Roseau","MN",455,8522,"0.05","","",23,2013,1,NA,27135
"2012","Unemployment rate",27,135,"Roseau","MN",403,8562,"0.05","","",23,2014,1,NA,27135
"2013","Unemployment rate",27,135,"Roseau","MN",378,8635,"0.04","","",23,2015,1,NA,27135
"2014","Unemployment rate",27,135,"Roseau","MN",317,8818,"0.04","","",23,2016,NA,NA,27135
"2015","Unemployment rate",27,135,"Roseau","MN",346,8447,"0.04","","",23,2017,NA,NA,27135
"2016","Unemployment rate",27,135,"Roseau","MN",425,8284,"0.05","","",23,2018,NA,NA,27135
"2017","Unemployment rate",27,135,"Roseau","MN",399,8157,"0.05","","",23,2019,NA,NA,27135
"2018","Unemployment rate",27,135,"Roseau","MN",265,7989,"0.03","","",23,2020,NA,NA,27135
"2019","Unemployment rate",27,135,"Roseau","MN",305,7875,"0.04","","",23,2021,NA,NA,27135
"2020","Unemployment rate",27,135,"Roseau","MN",455,7917,"0.06","","",23,2022,NA,NA,27135
"2021","Unemployment rate",27,135,"Roseau","MN",227,7748,"0.03","","",23,2023,NA,NA,27135
"2022","Unemployment rate",27,135,"Roseau","MN",203,7952,"0.03","","",23,2024,NA,NA,27135
"2002","Children in poverty",0,0,"United States","US",12132645,NA,"0.17","0.16","0.17",24,NA,NA,NA,9
"2003","Children in poverty",0,0,"United States","US",12865806,NA,"0.18","0.17","0.18",24,NA,NA,NA,9
"2004","Children in poverty",0,0,"United States","US",13041492,NA,"0.18","0.17","0.18",24,NA,NA,NA,9
"2005","Children in poverty",0,0,"United States","US",13360273,NA,"0.19","0.18","0.19",24,NA,NA,NA,9
"2006","Children in poverty",0,0,"United States","US",13285569,NA,"0.18","0.18","0.19",24,NA,NA,NA,9
"2007","Children in poverty",0,0,"United States","US",13097100,NA,"0.18","0.18","0.18",24,2010,NA,NA,9
"2008","Children in poverty",0,0,"United States","US",13240870,NA,"0.18","0.18","0.18",24,2011,NA,NA,9
"2009","Children in poverty",0,0,"United States","US",14656962,NA,"0.20","0.20","0.20",24,NA,NA,NA,9
"2010","Children in poverty",0,0,"United States","US",15749129,NA,"0.22","0.21","0.22",24,2012,NA,NA,9
"2011","Children in poverty",0,0,"United States","US",16386500,NA,"0.23","0.22","0.23",24,2013,NA,NA,9
"2012","Children in poverty",0,0,"United States","US",16396863,NA,"0.23","0.22","0.23",24,2014,NA,NA,9
"2013","Children in poverty",0,0,"United States","US",16086960,NA,"0.22","0.22","0.22",24,2015,NA,NA,9
"2014","Children in poverty",0,0,"United States","US",15686012,NA,"0.22","0.21","0.22",24,2016,NA,NA,9
"2015","Children in poverty",0,0,"United States","US",15000273,NA,"0.21","0.20","0.21",24,2017,NA,NA,9
"2016","Children in poverty",0,0,"United States","US",14115713,NA,"0.20","0.19","0.20",24,2018,NA,NA,9
"2017","Children in poverty",0,0,"United States","US",13353202,NA,"0.18","0.18","0.19",24,2019,NA,NA,9
"2018","Children in poverty",0,0,"United States","US",12997532,NA,"0.18","0.18","0.18",24,2020,NA,NA,9
"2019","Children in poverty",0,0,"United States","US",12000470,NA,"0.17","0.17","0.17",24,2021,NA,NA,9
"2020","Children in poverty",0,0,"United States","US",11204423,NA,"0.16","0.16","0.16",24,2022,NA,NA,9
"2021","Children in poverty",0,0,"United States","US",12243219,NA,"0.17","0.17","0.17",24,2023,NA,NA,9
"2022","Children in poverty",0,0,"United States","US",11582950,NA,"0.16","0.16","0.17",24,2024,NA,NA,9
"2002","Children in poverty",27,0,"Minnesota","MN",109810,NA,"0.09","0.07","0.10",24,NA,NA,NA,99
"2003","Children in poverty",27,0,"Minnesota","MN",125929,NA,"0.10","0.09","0.12",24,NA,NA,NA,99
"2004","Children in poverty",27,0,"Minnesota","MN",130284,NA,"0.11","0.09","0.12",24,NA,NA,NA,99
"2005","Children in poverty",27,0,"Minnesota","MN",139709,NA,"0.12","0.11","0.12",24,NA,NA,NA,99
"2006","Children in poverty",27,0,"Minnesota","MN",148700,NA,"0.12","0.11","0.13",24,NA,NA,NA,99
"2007","Children in poverty",27,0,"Minnesota","MN",148294,NA,"0.12","0.11","0.13",24,2010,NA,NA,99
"2008","Children in poverty",27,0,"Minnesota","MN",141120,NA,"0.11","0.11","0.12",24,2011,NA,NA,99
"2009","Children in poverty",27,0,"Minnesota","MN",172134,NA,"0.14","0.13","0.15",24,NA,NA,NA,99
"2010","Children in poverty",27,0,"Minnesota","MN",189999,NA,"0.15","0.14","0.16",24,2012,NA,NA,99
"2011","Children in poverty",27,0,"Minnesota","MN",192156,NA,"0.15","0.15","0.16",24,2013,NA,NA,99
"2012","Children in poverty",27,0,"Minnesota","MN",183595,NA,"0.15","0.14","0.15",24,2014,NA,NA,99
"2013","Children in poverty",27,0,"Minnesota","MN",176274,NA,"0.14","0.13","0.15",24,2015,NA,NA,99
"2014","Children in poverty",27,0,"Minnesota","MN",186025,NA,"0.15","0.14","0.16",24,2016,NA,NA,99
"2015","Children in poverty",27,0,"Minnesota","MN",165217,NA,"0.13","0.12","0.14",24,2017,NA,NA,99
"2016","Children in poverty",27,0,"Minnesota","MN",158751,NA,"0.13","0.12","0.13",24,2018,NA,NA,99
"2017","Children in poverty",27,0,"Minnesota","MN",149218,NA,"0.12","0.11","0.12",24,2019,NA,NA,99
"2018","Children in poverty",27,0,"Minnesota","MN",147732,NA,"0.12","0.11","0.12",24,2020,NA,NA,99
"2019","Children in poverty",27,0,"Minnesota","MN",140103,NA,"0.11","0.10","0.12",24,2021,NA,NA,99
"2020","Children in poverty",27,0,"Minnesota","MN",121018,NA,"0.10","0.09","0.10",24,2022,NA,NA,99
"2021","Children in poverty",27,0,"Minnesota","MN",138759,NA,"0.11","0.10","0.11",24,2023,NA,NA,99
"2022","Children in poverty",27,0,"Minnesota","MN",138469,NA,"0.11","0.10","0.12",24,2024,NA,NA,99
"2002","Children in poverty",27,69,"Kittson","MN",109,NA,"0.09","0.06","0.13",24,NA,NA,NA,27069
"2003","Children in poverty",27,69,"Kittson","MN",111,NA,"0.10","0.07","0.13",24,NA,NA,NA,27069
"2004","Children in poverty",27,69,"Kittson","MN",123,NA,"0.12","0.08","0.16",24,NA,NA,NA,27069
"2005","Children in poverty",27,69,"Kittson","MN",138,NA,"0.13","0.10","0.17",24,NA,NA,NA,27069
"2006","Children in poverty",27,69,"Kittson","MN",143,NA,"0.14","0.10","0.17",24,NA,NA,NA,27069
"2007","Children in poverty",27,69,"Kittson","MN",135,NA,"0.15","0.10","0.19",24,2010,NA,NA,27069
"2008","Children in poverty",27,69,"Kittson","MN",121,NA,"0.14","0.10","0.18",24,2011,NA,NA,27069
"2009","Children in poverty",27,69,"Kittson","MN",145,NA,"0.16","0.11","0.20",24,NA,NA,NA,27069
"2010","Children in poverty",27,69,"Kittson","MN",143,NA,"0.15","0.10","0.19",24,2012,NA,NA,27069
"2011","Children in poverty",27,69,"Kittson","MN",152,NA,"0.16","0.11","0.20",24,2013,NA,NA,27069
"2012","Children in poverty",27,69,"Kittson","MN",134,NA,"0.14","0.10","0.18",24,2014,NA,NA,27069
"2013","Children in poverty",27,69,"Kittson","MN",129,NA,"0.13","0.10","0.17",24,2015,NA,NA,27069
"2014","Children in poverty",27,69,"Kittson","MN",130,NA,"0.14","0.10","0.17",24,2016,NA,NA,27069
"2015","Children in poverty",27,69,"Kittson","MN",136,NA,"0.14","0.11","0.18",24,2017,NA,NA,27069
"2016","Children in poverty",27,69,"Kittson","MN",136,NA,"0.15","0.11","0.19",24,2018,NA,NA,27069
"2017","Children in poverty",27,69,"Kittson","MN",105,NA,"0.12","0.08","0.16",24,2019,NA,NA,27069
"2018","Children in poverty",27,69,"Kittson","MN",125,NA,"0.14","0.09","0.18",24,2020,NA,NA,27069
"2019","Children in poverty",27,69,"Kittson","MN",108,NA,"0.12","0.07","0.16",24,2021,NA,NA,27069
"2020","Children in poverty",27,69,"Kittson","MN",107,NA,"0.12","0.07","0.16",24,2022,NA,NA,27069
"2021","Children in poverty",27,69,"Kittson","MN",113,NA,"0.12","0.08","0.16",24,2023,NA,NA,27069
"2022","Children in poverty",27,69,"Kittson","MN",108,NA,"0.12","0.08","0.17",24,2024,NA,NA,27069
"2002","Children in poverty",27,89,"Marshall","MN",217,NA,"0.10","0.06","0.13",24,NA,NA,NA,27089
"2003","Children in poverty",27,89,"Marshall","MN",257,NA,"0.12","0.08","0.16",24,NA,NA,NA,27089
"2004","Children in poverty",27,89,"Marshall","MN",262,NA,"0.12","0.08","0.16",24,NA,NA,NA,27089
"2005","Children in poverty",27,89,"Marshall","MN",281,NA,"0.13","0.10","0.17",24,NA,NA,NA,27089
"2006","Children in poverty",27,89,"Marshall","MN",286,NA,"0.14","0.10","0.17",24,NA,NA,NA,27089
"2007","Children in poverty",27,89,"Marshall","MN",291,NA,"0.14","0.10","0.18",24,2010,NA,NA,27089
"2008","Children in poverty",27,89,"Marshall","MN",241,NA,"0.12","0.09","0.16",24,2011,NA,NA,27089
"2009","Children in poverty",27,89,"Marshall","MN",246,NA,"0.12","0.09","0.15",24,NA,NA,NA,27089
"2010","Children in poverty",27,89,"Marshall","MN",281,NA,"0.13","0.09","0.17",24,2012,NA,NA,27089
"2011","Children in poverty",27,89,"Marshall","MN",276,NA,"0.13","0.09","0.16",24,2013,NA,NA,27089
"2012","Children in poverty",27,89,"Marshall","MN",279,NA,"0.13","0.09","0.17",24,2014,NA,NA,27089
"2013","Children in poverty",27,89,"Marshall","MN",287,NA,"0.14","0.10","0.17",24,2015,NA,NA,27089
"2014","Children in poverty",27,89,"Marshall","MN",272,NA,"0.13","0.09","0.16",24,2016,NA,NA,27089
"2015","Children in poverty",27,89,"Marshall","MN",250,NA,"0.12","0.09","0.15",24,2017,NA,NA,27089
"2016","Children in poverty",27,89,"Marshall","MN",268,NA,"0.13","0.09","0.16",24,2018,NA,NA,27089
"2017","Children in poverty",27,89,"Marshall","MN",220,NA,"0.11","0.07","0.14",24,2019,NA,NA,27089
"2018","Children in poverty",27,89,"Marshall","MN",205,NA,"0.10","0.06","0.13",24,2020,NA,NA,27089
"2019","Children in poverty",27,89,"Marshall","MN",208,NA,"0.10","0.06","0.14",24,2021,NA,NA,27089
"2020","Children in poverty",27,89,"Marshall","MN",194,NA,"0.09","0.05","0.13",24,2022,NA,NA,27089
"2021","Children in poverty",27,89,"Marshall","MN",232,NA,"0.11","0.07","0.15",24,2023,NA,NA,27089
"2022","Children in poverty",27,89,"Marshall","MN",193,NA,"0.10","0.06","0.13",24,2024,NA,NA,27089
"2002","Children in poverty",27,113,"Pennington","MN",301,NA,"0.10","0.07","0.13",24,NA,NA,NA,27113
"2003","Children in poverty",27,113,"Pennington","MN",359,NA,"0.12","0.08","0.16",24,NA,NA,NA,27113
"2004","Children in poverty",27,113,"Pennington","MN",348,NA,"0.12","0.08","0.15",24,NA,NA,NA,27113
"2005","Children in poverty",27,113,"Pennington","MN",371,NA,"0.13","0.09","0.16",24,NA,NA,NA,27113
"2006","Children in poverty",27,113,"Pennington","MN",398,NA,"0.13","0.10","0.16",24,NA,NA,NA,27113
"2007","Children in poverty",27,113,"Pennington","MN",406,NA,"0.13","0.09","0.17",24,2010,NA,NA,27113
"2008","Children in poverty",27,113,"Pennington","MN",395,NA,"0.13","0.10","0.16",24,2011,NA,NA,27113
"2009","Children in poverty",27,113,"Pennington","MN",461,NA,"0.15","0.11","0.19",24,NA,NA,NA,27113
"2010","Children in poverty",27,113,"Pennington","MN",487,NA,"0.15","0.11","0.20",24,2012,NA,NA,27113
"2011","Children in poverty",27,113,"Pennington","MN",531,NA,"0.17","0.12","0.21",24,2013,NA,NA,27113
"2012","Children in poverty",27,113,"Pennington","MN",489,NA,"0.15","0.11","0.19",24,2014,NA,NA,27113
"2013","Children in poverty",27,113,"Pennington","MN",471,NA,"0.15","0.11","0.19",24,2015,NA,NA,27113
"2014","Children in poverty",27,113,"Pennington","MN",401,NA,"0.13","0.09","0.16",24,2016,NA,NA,27113
"2015","Children in poverty",27,113,"Pennington","MN",387,NA,"0.12","0.09","0.15",24,2017,NA,NA,27113
"2016","Children in poverty",27,113,"Pennington","MN",379,NA,"0.12","0.09","0.15",24,2018,NA,NA,27113
"2017","Children in poverty",27,113,"Pennington","MN",403,NA,"0.13","0.09","0.16",24,2019,NA,NA,27113
"2018","Children in poverty",27,113,"Pennington","MN",346,NA,"0.11","0.08","0.14",24,2020,NA,NA,27113
"2019","Children in poverty",27,113,"Pennington","MN",328,NA,"0.11","0.07","0.14",24,2021,NA,NA,27113
"2020","Children in poverty",27,113,"Pennington","MN",261,NA,"0.09","0.05","0.12",24,2022,NA,NA,27113
"2021","Children in poverty",27,113,"Pennington","MN",373,NA,"0.12","0.09","0.16",24,2023,NA,NA,27113
"2022","Children in poverty",27,113,"Pennington","MN",297,NA,"0.10","0.06","0.13",24,2024,NA,NA,27113
"2002","Children in poverty",27,125,"Red Lake","MN",82,NA,"0.09","0.06","0.12",24,NA,NA,NA,27125
"2003","Children in poverty",27,125,"Red Lake","MN",110,NA,"0.12","0.08","0.16",24,NA,NA,NA,27125
"2004","Children in poverty",27,125,"Red Lake","MN",105,NA,"0.12","0.08","0.16",24,NA,NA,NA,27125
"2005","Children in poverty",27,125,"Red Lake","MN",113,NA,"0.13","0.09","0.16",24,NA,NA,NA,27125
"2006","Children in poverty",27,125,"Red Lake","MN",123,NA,"0.14","0.10","0.17",24,NA,NA,NA,27125
"2007","Children in poverty",27,125,"Red Lake","MN",114,NA,"0.13","0.09","0.17",24,2010,NA,NA,27125
"2008","Children in poverty",27,125,"Red Lake","MN",119,NA,"0.14","0.11","0.18",24,2011,NA,NA,27125
"2009","Children in poverty",27,125,"Red Lake","MN",145,NA,"0.16","0.12","0.20",24,NA,NA,NA,27125
"2010","Children in poverty",27,125,"Red Lake","MN",157,NA,"0.16","0.12","0.21",24,2012,NA,NA,27125
"2011","Children in poverty",27,125,"Red Lake","MN",158,NA,"0.16","0.12","0.20",24,2013,NA,NA,27125
"2012","Children in poverty",27,125,"Red Lake","MN",143,NA,"0.15","0.11","0.19",24,2014,NA,NA,27125
"2013","Children in poverty",27,125,"Red Lake","MN",136,NA,"0.14","0.11","0.18",24,2015,NA,NA,27125
"2014","Children in poverty",27,125,"Red Lake","MN",114,NA,"0.12","0.08","0.15",24,2016,NA,NA,27125
"2015","Children in poverty",27,125,"Red Lake","MN",120,NA,"0.12","0.09","0.15",24,2017,NA,NA,27125
"2016","Children in poverty",27,125,"Red Lake","MN",115,NA,"0.12","0.08","0.15",24,2018,NA,NA,27125
"2017","Children in poverty",27,125,"Red Lake","MN",121,NA,"0.12","0.08","0.16",24,2019,NA,NA,27125
"2018","Children in poverty",27,125,"Red Lake","MN",120,NA,"0.13","0.09","0.16",24,2020,NA,NA,27125
"2019","Children in poverty",27,125,"Red Lake","MN",104,NA,"0.11","0.07","0.15",24,2021,NA,NA,27125
"2020","Children in poverty",27,125,"Red Lake","MN",85,NA,"0.09","0.05","0.13",24,2022,NA,NA,27125
"2021","Children in poverty",27,125,"Red Lake","MN",101,NA,"0.11","0.07","0.15",24,2023,NA,NA,27125
"2022","Children in poverty",27,125,"Red Lake","MN",102,NA,"0.11","0.07","0.16",24,2024,NA,NA,27125
"2002","Children in poverty",27,135,"Roseau","MN",295,NA,"0.07","0.04","0.09",24,NA,NA,NA,27135
"2003","Children in poverty",27,135,"Roseau","MN",325,NA,"0.08","0.05","0.10",24,NA,NA,NA,27135
"2004","Children in poverty",27,135,"Roseau","MN",320,NA,"0.07","0.05","0.10",24,NA,NA,NA,27135
"2005","Children in poverty",27,135,"Roseau","MN",341,NA,"0.08","0.06","0.10",24,NA,NA,NA,27135
"2006","Children in poverty",27,135,"Roseau","MN",416,NA,"0.10","0.07","0.12",24,NA,NA,NA,27135
"2007","Children in poverty",27,135,"Roseau","MN",384,NA,"0.09","0.07","0.12",24,2010,NA,NA,27135
"2008","Children in poverty",27,135,"Roseau","MN",385,NA,"0.10","0.07","0.12",24,2011,NA,NA,27135
"2009","Children in poverty",27,135,"Roseau","MN",440,NA,"0.11","0.08","0.13",24,NA,NA,NA,27135
"2010","Children in poverty",27,135,"Roseau","MN",496,NA,"0.13","0.09","0.16",24,2012,NA,NA,27135
"2011","Children in poverty",27,135,"Roseau","MN",610,NA,"0.15","0.12","0.18",24,2013,NA,NA,27135
"2012","Children in poverty",27,135,"Roseau","MN",427,NA,"0.11","0.08","0.14",24,2014,NA,NA,27135
"2013","Children in poverty",27,135,"Roseau","MN",449,NA,"0.12","0.09","0.15",24,2015,NA,NA,27135
"2014","Children in poverty",27,135,"Roseau","MN",466,NA,"0.12","0.09","0.15",24,2016,NA,NA,27135
"2015","Children in poverty",27,135,"Roseau","MN",460,NA,"0.12","0.09","0.15",24,2017,NA,NA,27135
"2016","Children in poverty",27,135,"Roseau","MN",409,NA,"0.11","0.08","0.14",24,2018,NA,NA,27135
"2017","Children in poverty",27,135,"Roseau","MN",403,NA,"0.11","0.08","0.14",24,2019,NA,NA,27135
"2018","Children in poverty",27,135,"Roseau","MN",419,NA,"0.12","0.08","0.15",24,2020,NA,NA,27135
"2019","Children in poverty",27,135,"Roseau","MN",300,NA,"0.08","0.05","0.12",24,2021,NA,NA,27135
"2020","Children in poverty",27,135,"Roseau","MN",318,NA,"0.09","0.05","0.13",24,2022,NA,NA,27135
"2021","Children in poverty",27,135,"Roseau","MN",386,NA,"0.11","0.07","0.14",24,2023,NA,NA,27135
"2022","Children in poverty",27,135,"Roseau","MN",427,NA,"0.12","0.09","0.15",24,2024,NA,NA,27135
"2007","Sexually transmitted infections",0,0,"United States","US",2216748,598796968,"370.20","","",45,2010,NA,NA,9
"2008","Sexually transmitted infections",0,0,"United States","US",2414122,602683251,"400.60","","",45,2011,NA,NA,9
"2009","Sexually transmitted infections",0,0,"United States","US",1237631,303456034,"407.80","","",45,2012,NA,NA,9
"2010","Sexually transmitted infections",0,0,"United States","US",1301473,308745538,"421.50","","",45,2013,NA,NA,9
"2011","Sexually transmitted infections",0,0,"United States","US",1412791,311591917,"453.40","","",45,2014,NA,NA,9
"2012","Sexually transmitted infections",0,0,"United States","US",1422976,313914040,"453.30","","",45,2015,NA,NA,9
"2013","Sexually transmitted infections",0,0,"United States","US",1401906,313914040,"446.60","","",45,2016,NA,NA,9
"2014","Sexually transmitted infections",0,0,"United States","US",1441789,316128839,"456.10","","",45,2017,NA,NA,9
"2015","Sexually transmitted infections",0,0,"United States","US",1526658,318857056,"478.80","","",45,2018,NA,NA,9
"2016","Sexually transmitted infections",0,0,"United States","US",1598354,321418820,"497.30","","",45,2019,NA,NA,9
"2017","Sexually transmitted infections",0,0,"United States","US",1708569,325719178,"524.60","","",45,2020,NA,NA,9
"2018","Sexually transmitted infections",0,0,"United States","US",1758668,325719178,"539.90","","",45,2021,NA,NA,9
"2019","Sexually transmitted infections",0,0,"United States","US",1808703,328239523,"551.00","","",45,2022,NA,NA,9
"2020","Sexually transmitted infections",0,0,"United States","US",1579885,328239523,"481.30","","",45,2023,NA,NA,9
"2021","Sexually transmitted infections",0,0,"United States","US",1644416,331893745,"495.50","","",45,2024,NA,NA,9
"2007","Sexually transmitted infections",27,0,"Minnesota","MN",13413,5167101,"259.60","","",45,2010,NA,NA,99
"2008","Sexually transmitted infections",27,0,"Minnesota","MN",14351,5197621,"276.10","","",45,2011,NA,NA,99
"2009","Sexually transmitted infections",27,0,"Minnesota","MN",14197,5219485,"272.00","","",45,2012,NA,NA,99
"2010","Sexually transmitted infections",27,0,"Minnesota","MN",14630,5303925,"275.80","","",45,2013,NA,NA,99
"2011","Sexually transmitted infections",27,0,"Minnesota","MN",16902,5344861,"316.20","","",45,2014,NA,NA,99
"2012","Sexually transmitted infections",27,0,"Minnesota","MN",18056,5379139,"335.70","","",45,2015,NA,NA,99
"2013","Sexually transmitted infections",27,0,"Minnesota","MN",18742,5379139,"348.40","","",45,2016,NA,NA,99
"2014","Sexually transmitted infections",27,0,"Minnesota","MN",19907,5420380,"367.30","","",45,2017,NA,NA,99
"2015","Sexually transmitted infections",27,0,"Minnesota","MN",21243,5457173,"389.30","","",45,2018,NA,NA,99
"2016","Sexually transmitted infections",27,0,"Minnesota","MN",22685,5489594,"413.20","","",45,2019,NA,NA,99
"2017","Sexually transmitted infections",27,0,"Minnesota","MN",23539,5576606,"422.10","","",45,2020,NA,NA,99
"2018","Sexually transmitted infections",27,0,"Minnesota","MN",23569,5576606,"422.60","","",45,2021,NA,NA,99
"2019","Sexually transmitted infections",27,0,"Minnesota","MN",24470,5639632,"433.90","","",45,2022,NA,NA,99
"2020","Sexually transmitted infections",27,0,"Minnesota","MN",22114,5639632,"392.10","","",45,2023,NA,NA,99
"2021","Sexually transmitted infections",27,0,"Minnesota","MN",22573,5707390,"395.50","","",45,2024,NA,NA,99
"2007","Sexually transmitted infections",27,69,"Kittson","MN",0,4691,"0.00","","",45,2010,NA,NA,27069
"2008","Sexually transmitted infections",27,69,"Kittson","MN",2,4462,"44.80","","",45,2011,NA,NA,27069
"2009","Sexually transmitted infections",27,69,"Kittson","MN",2,4464,"44.80","","",45,2012,NA,NA,27069
"2010","Sexually transmitted infections",27,69,"Kittson","MN",2,4552,"43.90","","",45,2013,NA,NA,27069
"2011","Sexually transmitted infections",27,69,"Kittson","MN",NA,4515,"","","",45,2014,NA,NA,27069
"2012","Sexually transmitted infections",27,69,"Kittson","MN",NA,4493,"","","",45,2015,NA,NA,27069
"2013","Sexually transmitted infections",27,69,"Kittson","MN",8,4493,"178.10","","",45,2016,NA,NA,27069
"2014","Sexually transmitted infections",27,69,"Kittson","MN",2,4503,"44.40","","",45,2017,NA,NA,27069
"2015","Sexually transmitted infections",27,69,"Kittson","MN",NA,NA,"","","",45,2018,NA,NA,27069
"2016","Sexually transmitted infections",27,69,"Kittson","MN",6,4424,"135.60","","",45,2019,NA,NA,27069
